,ids,img_quantities,hopkins
805,2683936,98,1.0
806,2683946,55,1.0
807,2683969,71,1.0
808,2683995,72,1.0
809,2684001,64,1.0
810,2684012,98,1.0
811,2684026,80,1.0
812,2684030,97,1.0
813,2684046,76,1.0
814,2684070,101,1.0
815,2684096,93,1.0
816,2684102,22,1.0
818,2684120,72,1.0
819,2684169,14,1.0
820,2684171,93,1.0
821,2684174,11,1.0
822,2684178,90,1.0
823,2684184,31,1.0
824,2684191,101,1.0
825,2684192,77,1.0
826,2684235,58,1.0
827,2684243,64,1.0
828,2684261,11,0.720000000552699
829,2684264,28,1.0
830,2684273,75,1.0
831,2684283,13,0.819999366799927
832,2684287,68,1.0
833,2684296,22,1.0
834,2684303,56,1.0
837,2684320,92,1.0
838,2684334,91,1.0
839,2684338,80,1.0
840,2684353,77,0.999999999964095
841,2684363,56,1.0
842,2684391,101,1.0
843,2684410,100,1.0
844,2684451,101,1.0
845,2684482,23,1.0
846,2684483,83,1.0
847,2684485,48,1.0
848,2684487,74,1.0
849,2684495,15,0.999999999991753
850,2684500,15,1.0
851,2684507,35,1.0
852,2684510,10,0.999999999991185
853,2684517,66,1.0
854,2684528,87,1.0
856,2684549,91,1.0
858,2684584,27,1.0
860,2684591,99,1.0
862,2684610,39,1.0
863,2684615,81,1.0
864,2684616,47,1.0
865,2684621,84,0.999999999999973
866,2684626,48,1.0
867,2684627,84,1.0
868,2684633,89,1.0
869,2684640,86,1.0
870,2684641,59,1.0
871,2684648,68,1.0
872,2684674,101,1.0
873,2684690,60,1.0
874,2684709,101,1.0
875,2684773,91,1.0
876,2684809,58,1.0
877,2684818,99,1.0
878,2684855,99,1.0
879,2684865,37,1.0
881,2684870,49,1.0
882,2684878,65,1.0
883,2684894,27,1.0
884,2684896,22,0.999999999995117
885,2684904,25,1.0
889,2684918,101,1.0
890,2684921,63,1.0
891,2684940,91,1.0
892,2684969,101,1.0
893,2684977,17,1.0
894,2684984,88,1.0
898,2685265,28,1.0
899,2685280,49,1.0
900,2685303,49,1.0
901,2685308,95,1.0
902,2685313,101,1.0
903,2685318,101,1.0
904,2685326,69,1.0
905,2685361,94,1.0
906,2685383,100,1.0
907,2685400,22,1.0
908,2685414,62,1.0
909,2685422,74,1.0
910,2685437,34,1.0
911,2685464,88,1.0
913,2685479,59,1.0
914,2685484,101,1.0
915,2685507,70,1.0
916,2685524,96,1.0
917,2685527,66,1.0
918,2685542,65,1.0
920,2685552,100,1.0
922,2685580,92,1.0
923,2685601,29,1.0
924,2685608,19,1.0
925,2685611,28,0.999998211547095
927,2685628,10,0.709999962612386
928,2685648,73,1.0
929,2685654,71,1.0
930,2685663,33,0.996678438552506
934,2685721,29,1.0
935,2685776,85,1.0
936,2685783,34,1.0
937,2685796,101,1.0
938,2686157,92,1.0
939,2686170,32,1.0
940,2686212,99,1.0
941,2686231,75,1.0
943,2686270,96,1.0
944,2686273,48,1.0
945,2686276,71,0.999999999999954
947,2687182,91,1.0
948,2687186,80,1.0
949,2687201,85,1.0
950,2687210,101,1.0
951,2687216,23,1.0
952,2687245,97,1.0
953,2687255,95,1.0
954,2687265,87,1.0
955,2687271,18,1.0
956,2687286,31,1.0
957,2687296,66,1.0
958,2687298,79,1.0
959,2687301,67,1.0
960,2687628,22,1.0
961,2687632,86,1.0
962,2687644,93,1.0
963,2687646,96,1.0
964,2687649,13,1.0
965,2687707,19,1.0
966,2687717,98,1.0
967,2687726,21,1.0
968,2687731,70,1.0
969,2687771,12,0.999999998699065
970,2687779,95,1.0
971,2687808,16,1.0
972,2687809,16,1.0
973,2687843,14,1.0
974,2687859,84,1.0
975,2687870,89,1.0
976,2687885,101,1.0
977,2687915,94,1.0
978,2687927,100,1.0
979,2687928,59,1.0
980,2687929,101,1.0
981,2687932,101,1.0
982,2687935,43,1.0
983,2687937,101,1.0
984,2687940,101,1.0
985,2687942,101,1.0
986,2687943,101,1.0
987,2687948,99,1.0
988,2687949,99,1.0
989,2688175,101,1.0
990,2688176,101,1.0
991,2688180,95,1.0
992,2688181,10,0.999998326313499
993,2688185,99,1.0
994,2688186,96,1.0
995,2688187,35,1.0
996,2688189,100,1.0
998,2688195,35,1.0
999,2688196,100,1.0
1000,2688197,101,1.0
1001,2688200,99,1.0
1002,2688201,15,0.936407538879877
1003,2688203,97,1.0
1004,2688204,99,1.0
1005,2688205,48,1.0
1006,2688207,83,1.0
1007,2688210,101,1.0
1008,2688211,106,1.0
1009,2688214,100,1.0
1010,2688216,22,0.999999999999999
1012,2688219,97,1.0
1013,2688222,95,1.0
1014,2688223,89,1.0
1015,2688225,101,0.999934022087183
1016,2688227,101,1.0
1017,2688228,68,1.0
1018,2688231,35,0.800028299776865
1019,2688236,12,1.0
1020,2688237,100,1.0
1022,2688243,31,1.0
1023,2688244,53,1.0
1025,2688249,11,1.0
1026,2688263,16,1.0
1027,2688270,58,0.999999999999997
1028,2688289,56,1.0
1029,2688296,18,1.0
1030,2688307,12,1.0
1031,2688313,17,1.0
1034,2688326,17,1.0
1036,2688336,76,1.0
1037,2688339,37,1.0
1038,2688345,101,1.0
1039,2688350,99,1.0
1041,2688363,100,1.0
1042,2688379,98,1.0
1043,2688382,36,0.997911222865626
1044,2688387,91,1.0
1045,2688393,101,1.0
1046,2688407,61,1.0
1047,2688412,101,1.0
1048,2688420,101,0.999999990423231
1049,2688424,92,1.0
1051,2688443,96,1.0
1052,2688461,98,1.0
1053,2688470,69,1.0
1054,2688516,22,1.0
1055,2688524,97,1.0
1056,2688528,30,1.0
1057,2688531,48,1.0
1058,2689846,100,1.0
1060,2690235,12,0.999999999972067
1061,2690282,12,1.0
1063,2690312,18,0.999999999435971
1065,2690327,23,1.0
1067,2690608,79,1.0
1069,2690636,44,1.0
1071,2690647,99,1.0
1072,2690656,38,1.0
1073,2690666,23,1.0
1074,2690741,97,1.0
1075,2690753,98,1.0
1076,2690768,24,1.0
1077,2690811,45,1.0
1080,2690922,18,1.0
1082,2691022,26,1.0
1083,2691079,15,1.0
1086,2691146,28,0.999999999999307
1087,2692595,14,1.0
1088,2692630,12,1.0
1089,2692634,37,1.0
1090,2692653,39,1.0
1091,2692656,13,1.0
1092,2692672,51,1.0
1093,2692677,36,1.0
1094,2692696,16,1.0
1095,2692699,99,1.0
1096,2692711,97,1.0
1097,2692748,11,1.0
1098,2692758,98,1.0
1099,2692791,32,1.0
1101,2692804,95,0.999999999999991
1102,2692843,77,1.0
1103,2692883,26,1.0
1104,2692907,15,1.0
1105,2692919,99,1.0
1106,2692927,100,1.0
1107,2692942,93,1.0
1108,2692945,100,1.0
1109,2692954,101,1.0
1110,2693047,28,1.0
1112,2693121,100,1.0
1113,2693142,100,1.0
1115,2693145,43,1.0
1116,2693146,100,1.0
1117,2693205,93,1.0
1118,2693231,26,1.0
1120,2693325,21,1.0
1121,2693407,19,1.0
1123,2693660,13,1.0
1125,2693680,10,0.744867993270817
1126,2693693,27,0.817121346985106
1127,2693714,32,0.999999999999995
1128,2693722,53,1.0
1130,2693754,102,1.0
1131,2693788,67,1.0
1134,2693837,100,1.0
1141,2693922,46,1.0
1145,2694159,14,1.0
1147,2694233,10,1.0
1148,2694252,60,1.0
1149,2694442,24,1.0
1150,2694464,10,0.999999999030164
1152,2694501,91,1.0
1153,2694507,62,1.0
1154,2694514,27,0.999767685887614
1156,2694520,80,1.0
1157,2694530,34,1.0
1159,2694600,78,0.999999999999975
1160,2694619,99,1.0
1161,2694629,11,0.99999999999764
1162,2694638,28,1.0
1163,2694647,99,1.0
1164,2694649,36,1.0
1165,2694651,38,1.0
1166,2694662,21,0.74
1167,2694666,99,1.0
1168,2694667,31,0.842134876769188
1169,2694672,99,1.0
1170,2694689,101,1.0
1171,2694695,100,1.0
1173,2694744,14,1.0
1174,2694745,101,1.0
1175,2694749,25,1.0
1176,2694760,20,1.0
1177,2694764,62,1.0
1180,2694783,42,1.0
1181,2694789,102,1.0
1182,2694792,99,1.0
1183,2694798,15,0.999999999996215
1184,2694804,53,1.0
1185,2694806,29,1.0
1186,2694812,84,1.0
1188,2694823,11,1.0
1189,2694854,15,1.0
1190,2694856,27,0.988027835082648
1192,2694879,17,1.0
1193,2694886,14,1.0
1194,2694895,47,1.0
1195,2694910,18,1.0
1196,2694922,100,1.0
1198,2694927,40,1.0
1199,2694930,23,0.999998543303573
1200,2694932,99,1.0
1201,2694944,52,1.0
1203,2694947,11,1.0
1204,2694957,35,1.0
1208,2695004,10,1.0
1209,2695006,100,1.0
1210,2695007,101,1.0
1212,2695026,40,1.0
1213,2695037,12,1.0
1215,2695056,100,1.0
1216,2695059,53,1.0
1217,2695068,101,1.0
1219,2695090,21,1.0
1220,2695104,97,1.0
1222,2695110,10,1.0
1223,2695114,62,1.0
1224,2695136,10,1.0
1225,2695149,99,1.0
1227,2695178,52,1.0
1228,2695222,13,1.0
1229,2695234,86,1.0
1230,2695237,10,0.73
1231,2695240,10,0.999999998568298
1232,2695257,39,1.0
1233,2695266,83,1.0
1234,2695281,19,1.0
1235,2695286,47,1.0
1237,2695300,26,1.0
1238,2695302,100,1.0
1239,2695309,21,1.0
1240,2695328,51,1.0
1241,2695332,17,1.0
1244,2695344,98,1.0
1245,2695351,102,1.0
1246,2695355,41,1.0
1249,2695369,16,1.0
1250,2695373,74,1.0
1251,2695374,20,1.0
1252,2695397,69,1.0
1253,2695405,32,1.0
1254,2695413,10,0.99999999999044
1255,2695417,100,0.999999999999361
1256,2695421,37,1.0
1257,2695431,11,1.0
1259,2695435,10,0.73
1260,2695451,95,1.0
1261,2695457,17,1.0
1262,2695475,67,1.0
1263,2695476,13,0.999999737330518
1264,2695495,19,0.726534726993565
1265,2695499,97,1.0
1266,2695501,96,1.0
1267,2695503,24,0.999602667710979
1269,2695531,28,1.0
1270,2695553,33,1.0
1271,2695564,34,1.0
1272,2695571,17,0.999965712539049
1273,2695580,66,1.0
1274,2695583,98,1.0
1275,2695588,99,1.0
1276,2695613,31,1.0
1277,2695614,12,1.0
1278,2695621,18,1.0
1279,2695627,50,1.0
1281,2695645,80,1.0
1282,2695661,100,1.0
1283,2695666,24,1.0
1285,2695675,100,1.0
1289,2695716,100,1.0
1290,2695721,86,1.0
1292,2695741,50,1.0
1293,2695746,20,1.0
1294,2695750,53,1.0
1295,2695756,11,1.0
1296,2695759,100,1.0
1297,2695767,81,1.0
1298,2695772,62,1.0
1299,2695817,39,1.0
1300,2695829,35,1.0
1302,2695839,58,1.0
1303,2695846,14,0.999999999999965
1304,2695858,78,1.0
1305,2695885,15,0.999976676512925
1306,2695897,29,1.0
