,class_ids,img_quantities,hopkins
997,2687949,99,1.0
998,2688175,101,1.0
999,2688176,101,1.0
1000,2688178,35,0.87620093287615
1001,2688180,95,1.0
1002,2688185,99,1.0
1003,2688186,96,1.0
1004,2688187,35,1.0
1006,2688189,100,1.0
1009,2688195,35,1.0
1010,2688196,100,1.0
1011,2688197,101,1.0
1012,2688200,99,1.0
1013,2688201,15,1.0
1014,2688203,97,1.0
1015,2688204,99,1.0
1016,2688205,48,1.0
1017,2688207,83,1.0
1018,2688210,101,1.0
1019,2688211,106,1.0
1020,2688214,100,1.0
1021,2688216,22,1.0
1022,2688219,97,1.0
1023,2688222,95,1.0
1024,2688223,89,1.0
1025,2688225,101,0.99999967017655
1026,2688227,101,1.0
1027,2688228,68,1.0
1028,2688231,35,0.999975409177275
1029,2688236,12,1.0
1030,2688237,100,1.0
1032,2688243,31,1.0
1033,2688244,53,1.0
1035,2688249,11,1.0
1036,2688263,16,1.0
1037,2688265,65,0.77002388956297
1038,2688270,58,1.0
1039,2688289,56,1.0
1040,2688296,18,1.0
1041,2688307,12,1.0
1042,2688309,11,0.710575374248723
1044,2688313,17,1.0
1048,2688326,17,1.0
1050,2688336,76,1.0
1051,2688339,37,1.0
1052,2688345,101,1.0
1053,2688350,99,1.0
1055,2688363,100,1.0
1056,2688379,98,1.0
1057,2688382,36,0.999999983351555
1058,2688387,91,1.0
1059,2688393,101,1.0
1060,2688407,61,1.0
1061,2688412,101,1.0
1062,2688420,101,0.760012810211903
1063,2688424,92,1.0
1065,2688443,96,1.0
1066,2688461,98,1.0
1067,2688470,69,1.0
1068,2688516,22,1.0
1069,2688524,97,1.0
1070,2688528,30,1.0
1071,2688531,48,1.0
1072,2689846,100,1.0
1074,2690235,12,1.0
1075,2690282,12,1.0
1077,2690312,18,1.0
1079,2690327,23,1.0
1081,2690608,79,1.0
1082,2690636,44,1.0
1083,2690647,99,1.0
1084,2690656,38,1.0
1085,2690666,23,1.0
1086,2690741,97,1.0
1087,2690753,98,1.0
1088,2690768,24,1.0
1089,2690811,45,1.0
1093,2690922,18,1.0
1095,2691022,26,1.0
1096,2691079,15,1.0
1098,2691146,28,1.0
1099,2692595,14,1.0
1100,2692630,12,1.0
1101,2692634,37,1.0
1102,2692653,39,1.0
1103,2692656,13,1.0
1104,2692672,51,0.999999999012387
1105,2692675,16,0.740000000000001
1106,2692677,36,1.0
1107,2692696,16,1.0
1108,2692699,99,1.0
1110,2692711,97,1.0
1111,2692748,11,1.0
1112,2692758,98,1.0
1113,2692791,32,1.0
1115,2692804,95,1.0
1116,2692843,77,1.0
1117,2692883,26,1.0
1118,2692907,15,1.0
1119,2692919,99,1.0
1120,2692927,100,1.0
1121,2692942,93,1.0
1122,2692945,100,1.0
1123,2692954,101,1.0
1124,2693047,28,1.0
1127,2693121,100,1.0
1128,2693142,100,1.0
1129,2693145,43,1.0
1130,2693146,100,1.0
1131,2693205,93,1.0
1132,2693231,26,1.0
1134,2693325,21,1.0
1135,2693407,19,1.0
1136,2693660,13,1.0
1138,2693680,10,1.0
1139,2693714,32,0.999999966485389
1140,2693722,53,1.0
1141,2693754,102,1.0
1142,2693788,67,1.0
1145,2693837,100,1.0
1151,2693922,46,1.0
1153,2694159,14,1.0
1155,2694233,10,1.0
1156,2694252,60,0.9999994468032
1157,2694442,24,1.0
1158,2694464,10,1.0
1160,2694501,91,1.0
1161,2694507,62,1.0
1162,2694514,27,1.0
1164,2694520,80,1.0
1165,2694530,34,1.0
1166,2694585,10,0.759999994119653
1167,2694600,78,1.0
1168,2694619,99,1.0
1169,2694629,11,0.999999999999854
1170,2694638,28,1.0
1171,2694647,99,1.0
1172,2694649,36,1.0
1173,2694651,38,1.0
